,Candidate Id,Candidate Name,Candidate Office,Candidate Office State,Candidate Office District,Candidate Party Affiliation,Candidate Incumbent Challenger Open Seat,Net Contribution,Net Operating Expenditure,Winner_binary,Cash on Hand Beginning of Period,Cash on Hand Close of Period,Individual Itemized Contribution,Individual Unitemized Contribution,Individual Contribution,Electorate,rank_netExpenditure,rank_UnItemizedContribution,rank_ItemizedContribution
237,H6MN02149,"LEWIS, JASON MARK MR.",H,MN,2.0,REP,OPEN,772922.46,698364.86,1,0.0,74557.6,410828.18,247306.78,658134.96,MN-2.0,3.0,2.0,2.0
1545,H6MN02198,"MILLER, DARLENE",H,MN,2.0,REP,OPEN,355849.7,369722.7,0,0.0,2822.92,309770.83,24978.87,334749.7,MN-2.0,4.0,4.0,4.0
817,H2MN02130,"GERSON, DAVID ADAM",H,MN,2.0,REP,CHALLENGER,120567.85,145619.46,0,1796.59,104177.57,115742.66,13585.19,129327.85,MN-2.0,5.0,6.0,5.0
1507,H6MN02164,"HOWE, JOHN STERLING",H,MN,2.0,REP,OPEN,108539.09,113383.95,0,0.0,17655.14,84293.09,10746.0,95039.09,MN-2.0,6.0,7.0,6.0
1484,H6MN02214,"ERICKSON, MATTHEW D",H,MN,2.0,REP,OPEN,63319.6,64841.11,0,0.0,14.88,53950.0,0.0,53950.0,MN-2.0,7.0,9.0,7.0
1408,H6MN02156,"MYHRA, PAMELA J",H,MN,2.0,REP,OPEN,51650.38,52147.01,0,0.0,103.37,15485.0,27892.83,43377.83,MN-2.0,8.0,3.0,8.0
1414,H4MN02136,"OVERBY, PAULA MIRARE",H,MN,2.0,IDP,OPEN,2416.0,2247.28,0,332.85,832.81,1398.0,1018.0,2416.0,MN-2.0,9.0,8.0,9.0
59,H8MN03077,"PAULSEN, ERIK",H,MN,3.0,REP,INCUMBENT,4488239.51,4046303.12,1,1194960.88,1616178.77,2134468.62,153739.74,2288208.36,MN-3.0,1.0,2.0,1.0
432,H8MN03069,"BONOFF, TERRI",H,MN,3.0,DFL,CHALLENGER,1656703.22,1441701.63,0,0.0,215001.59,1162295.15,221066.31,1383361.46,MN-3.0,2.0,1.0,2.0
130,H0MN04049,"MCCOLLUM, BETTY",H,MN,4.0,DFL,INCUMBENT,861905.84,639828.42,1,171162.96,164740.38,326539.43,56432.75,382972.18,MN-4.0,1.0,1.0,1.0
641,H6MN04236,"RYAN, GREGORY THOMAS",H,MN,4.0,REP,CHALLENGER,24451.0,41392.7,0,0.0,5684.33,10000.0,8651.0,18651.0,MN-4.0,2.0,2.0,2.0
17,H6MN05183,"ELLISON, KEITH MAURICE",H,MN,5.0,DEM,INCUMBENT,2294848.39,1622329.1,1,162747.78,365620.6,934008.98,1063994.48,1998003.46,MN-5.0,1.0,1.0,1.0
1175,H4MN05071,"DAGGETT, DOUGLAS JAMES",H,MN,5.0,REP,CHALLENGER,-933.0,1252.24,0,2545.74,0.0,0.0,67.0,67.0,MN-5.0,2.0,2.0,2.0
36,H4MN06087,"EMMER, THOMAS EARL JR.",H,MN,6.0,REP,INCUMBENT,1635187.39,1178785.31,1,18199.74,417793.38,702945.46,188861.93,891807.39,MN-6.0,1.0,1.0,1.0
853,H6MN06165,"KERN, ALIENA JEANENE",H,MN,6.0,REP,CHALLENGER,15124.87,26890.16,0,40.0,1294.71,8335.12,7696.0,16031.12,MN-6.0,2.0,2.0,2.0
1006,H6MN06157,"HELLAND, ROBERT RANDOLPH",H,MN,6.0,UNK,CHALLENGER,4743.0,4162.0,0,0.0,590.0,1058.0,1275.0,2333.0,MN-6.0,3.0,3.0,3.0
241,H2MN07014,"PETERSON, COLLIN CLARK",H,MN,7.0,DEM,INCUMBENT,1125708.7,442366.17,1,50681.82,554322.21,145138.68,44259.31,189397.99,MN-7.0,1.0,1.0,1.0
841,H6MN07288,"HINSON, AMANDA LYNN",H,MN,7.0,REP,CHALLENGER,24093.96,22617.96,0,0.0,-1.58,14884.26,8209.7,23093.96,MN-7.0,2.0,2.0,2.0
525,H6MN07304,"HUGHES, DAVID RUSSELL MR.",H,MN,7.0,REP,CHALLENGER,17085.65,13735.62,0,0.0,3350.03,5268.0,7627.46,12895.46,MN-7.0,3.0,3.0,4.0
1079,H6MN07296,"WINGE, KEVIN BIRDEEN",H,MN,7.0,IND,CHALLENGER,13651.0,2999.0,0,0.0,0.0,10350.0,3301.0,13651.0,MN-7.0,4.0,4.0,3.0
586,H4MN08083,"MILLS, STEWART MR.",H,MN,8.0,REP,CHALLENGER,1262708.94,3003266.49,0,297.68,93318.96,625195.59,309856.66,935052.25,MN-8.0,1.0,2.0,2.0
220,H2MN08111,"NOLAN, RICHARD M.",H,MN,8.0,DFL,INCUMBENT,2561459.69,1863869.24,1,26663.37,718566.82,827186.63,705393.04,1532579.67,MN-8.0,2.0,1.0,1.0
44,H0MO01066,"CLAY, WILLIAM LACY JR",H,MO,1.0,DEM,INCUMBENT,599196.84,605274.68,1,317053.11,265324.14,57839.61,8096.73,65936.34,MO-1.0,1.0,2.0,1.0
778,H6MO01253,"CHAPPELLE-NADAL, MARIA",H,MO,1.0,DEM,CHALLENGER,74788.55,73040.1,0,0.0,1798.61,37295.39,32851.42,70146.81,MO-1.0,2.0,1.0,2.0
991,H8MO02158,"HAAS, WILLIAM C",H,MO,1.0,DEM,CHALLENGER,4764.0,12264.0,0,0.0,0.0,0.0,0.0,0.0,MO-1.0,3.0,3.0,3.0
30,H2MO02102,"WAGNER, ANN L.",H,MO,2.0,REP,INCUMBENT,2202760.7,1118312.25,1,1368888.91,2378737.36,1047225.0,7985.7,1055210.7,MO-2.0,1.0,2.0,1.0
608,H6MO02301,"OTTO, BILL MR.",H,MO,2.0,DEM,CHALLENGER,415974.37,314939.74,0,0.0,101034.63,219830.95,100146.17,319977.12,MO-2.0,2.0,1.0,2.0
1169,H0MO02213,"LIEBER, ARTHUR H.",H,MO,2.0,DEM,CHALLENGER,0.0,407.88,0,8789.96,0.0,0.0,0.0,0.0,MO-2.0,3.0,3.0,3.0
18,H8MO09153,"LUETKEMEYER, W BLAINE",H,MO,3.0,REP,INCUMBENT,1795890.99,550469.87,1,965976.43,1941810.36,493692.37,23660.26,517352.63,MO-3.0,1.0,1.0,1.0
653,H6MO03325,"SIMMONS, DOANITA MRS",H,MO,3.0,CON,CHALLENGER,2663.0,1864.0,0,0.0,733.0,0.0,75.0,2588.0,MO-3.0,2.0,2.0,2.0
56,H0MO04086,"HARTZLER, VICKY",H,MO,4.0,REP,INCUMBENT,857875.0,382580.58,1,352837.0,522190.73,443734.0,29191.0,472925.0,MO-4.0,1.0,2.0,1.0
453,H6MO04224,"CHRISTENSEN, GORDON DR.",H,MO,4.0,DEM,CHALLENGER,168808.53,192132.22,0,0.0,10176.31,128389.16,39169.37,167558.53,MO-4.0,2.0,1.0,2.0
962,H4MO04138,"WEBB, JOHN E",H,MO,4.0,REP,CHALLENGER,13156.0,14953.0,0,1512.0,584.0,9100.0,4056.0,13156.0,MO-4.0,3.0,3.0,3.0
1128,H6MO04216,"WHITE, JAMES LLOYD",H,MO,4.0,DEM,CHALLENGER,4810.41,6646.27,0,0.0,0.0,1400.0,2520.0,3920.0,MO-4.0,4.0,4.0,4.0
199,H4MO05234,"CLEAVER, EMANUEL II",H,MO,5.0,DEM,INCUMBENT,1043228.26,677611.61,1,73434.15,423480.13,199249.95,15413.05,214663.0,MO-5.0,1.0,1.0,1.0
687,H6MO05189,"TURK, JACOB",H,MO,5.0,REP,CHALLENGER,98320.0,79430.68,0,-528.73,18860.59,91748.0,6572.0,98320.0,MO-5.0,2.0,2.0,2.0
769,H6MO05213,"BURRIS, MICHAEL CRAIG",H,MO,5.0,REP,CHALLENGER,1700.0,1829.94,0,301.83,171.91,1600.0,100.0,1700.0,MO-5.0,3.0,3.0,3.0
1185,H6MO05205,"RUCKER, AUSTIN JONATHAN",H,MO,5.0,REP,CHALLENGER,270.0,17.0,0,0.0,292.0,210.0,0.0,170.0,MO-5.0,4.0,4.0,4.0
34,H0MO06073,"GRAVES, SAMUEL B JR 'SAM'",H,MO,6.0,REP,INCUMBENT,1418918.45,1008699.48,1,394483.22,578169.06,262533.39,17363.66,279897.05,MO-6.0,1.0,1.0,1.0
999,H0MO06172,"YARBER, KYLE A",H,MO,6.0,DEM,CHALLENGER,0.0,2068.0,0,0.0,80.0,0.0,0.0,0.0,MO-6.0,2.0,2.0,2.0
52,H0MO07113,"LONG, BILLY MR.",H,MO,7.0,REP,INCUMBENT,1382968.45,1478549.4,1,561805.11,463152.45,475974.0,12989.71,488963.71,MO-7.0,1.0,1.0,1.0
770,H6MO07268,"BYRNE, MARY RADASZEWSKI MRS",H,MO,7.0,REP,CHALLENGER,29108.21,29108.21,0,0.0,0.0,7984.52,3342.54,11327.06,MO-7.0,2.0,3.0,2.0
709,H4MO07131,"WILLIAMS, REBECCA GENEVIEVE MS",H,MO,7.0,DEM,CHALLENGER,17605.3,9308.05,0,0.0,6297.25,6475.0,10843.3,17318.3,MO-7.0,3.0,2.0,3.0
1071,H6MO07201,"SPENCER, LYDLE RAY",H,MO,7.0,REP,CHALLENGER,2837.85,3189.78,0,501.31,149.38,2137.85,700.0,2837.85,MO-7.0,4.0,4.0,4.0
48,H4MO08162,"SMITH, JASON T",H,MO,8.0,UNK,INCUMBENT,1557425.92,965644.5,1,146192.58,571789.15,477737.73,36534.0,514271.73,MO-8.0,1.0,1.0,1.0
766,H6MO08142,"BROWN, HAL",H,MO,8.0,REP,CHALLENGER,22984.58,54088.86,0,0.0,667.81,13950.0,6380.58,20330.58,MO-8.0,2.0,2.0,3.0
875,H2MO08067,"MAHN, DANIEL TODD",H,MO,8.0,REP,CHALLENGER,15425.0,12123.46,0,5050.0,-755.14,14200.0,1225.0,15425.0,MO-8.0,3.0,3.0,2.0
1302,H8MP00041,"SABLAN, GREGORIO KILILI CAMACHO",H,MP,0.0,IND,INCUMBENT,46850.0,44526.97,0,69534.07,71911.38,40350.0,3000.0,43350.0,MP-0.0,1.0,1.0,1.0
128,H6MS01131,"KELLY, JOHN TRENT",H,MS,1.0,REP,INCUMBENT,1014137.85,771566.17,1,0.0,180488.55,499620.92,56408.93,556029.85,MS-1.0,1.0,1.0,1.0
1800,H6MS01198,"JONES, ROGER STARNER DR.",H,MS,1.0,REP,OPEN,140858.0,528638.39,0,0.0,0.0,24856.0,952.0,25808.0,MS-1.0,2.0,13.0,10.0
1449,H6MS01156,"ADAMS, BOYCE",H,MS,1.0,REP,OPEN,141231.0,508199.62,0,0.0,16565.38,126171.5,6059.5,132231.0,MS-1.0,3.0,9.0,6.0
1785,H6MS01172,"PIRKLE, GREGORY D.",H,MS,1.0,REP,OPEN,212756.0,459834.76,0,0.0,0.0,188754.0,25002.0,213756.0,MS-1.0,4.0,2.0,3.0
1597,H6MS01149,"TAGERT, MIKE",H,MS,1.0,REP,OPEN,451485.0,444649.78,0,0.0,6835.22,439600.0,19055.0,458655.0,MS-1.0,5.0,3.0,2.0
1752,H6MS01214,"ADCOCK, SAM",H,MS,1.0,REP,OPEN,151881.96,300610.06,0,0.0,0.0,133873.96,5358.0,139231.96,MS-1.0,6.0,11.0,5.0
1794,H6MS01164,"COLLINS, NANCY",H,MS,1.0,REP,OPEN,102538.35,247121.35,0,0.0,0.0,86074.94,9463.41,95538.35,MS-1.0,7.0,7.0,7.0
1617,H6MS01222,"WHITWELL, ROBERT QUENTIN JR",H,MS,1.0,REP,OPEN,216570.27,217740.27,0,0.0,0.0,138368.21,14052.06,152420.27,MS-1.0,8.0,5.0,4.0
1784,H6MS01180,"MILLS, MICHAEL P. JR",H,MS,1.0,REP,OPEN,101100.0,178100.0,0,0.0,0.0,85150.0,12950.0,98100.0,MS-1.0,9.0,6.0,8.0
1719,H6MS01206,"HOLLIDAY, ED",H,MS,1.0,REP,OPEN,30365.0,139438.09,0,0.0,0.0,17600.0,7765.0,25365.0,MS-1.0,10.0,8.0,11.0
1577,H0MS01050,"ROSS, HERMAN HENRY II",H,MS,1.0,REP,OPEN,107884.26,103867.22,0,-301.75,-368.76,25720.0,5574.5,31294.5,MS-1.0,11.0,10.0,9.0
1766,H6MS01255,"ZINN, WALTER H",H,MS,1.0,DEM,OPEN,29860.28,29817.95,0,0.0,36.86,8734.75,14625.53,23360.28,MS-1.0,12.0,4.0,13.0
1211,H6MS01230,"SPARKS, DANIEL HUDSON",H,MS,1.0,UNK,CHALLENGER,18483.0,15977.04,0,0.0,11123.24,16900.0,1583.0,18483.0,MS-1.0,13.0,12.0,12.0
214,H4MS02068,"THOMPSON, BENNIE G.",H,MS,2.0,DEM,INCUMBENT,922794.7,761265.17,1,1256540.21,1373003.64,103651.87,10475.96,114127.83,MS-2.0,1.0,1.0,1.0
135,H8MS03067,"HARPER, GREGG",H,MS,3.0,REP,INCUMBENT,848830.0,1031629.29,1,813182.89,657383.6,351300.0,17650.0,368950.0,MS-3.0,1.0,1.0,1.0
232,H0MS04120,"PALAZZO, STEVEN MCCARTY",H,MS,4.0,REP,INCUMBENT,734076.28,369376.37,1,58354.36,293054.27,217750.0,10226.28,227976.28,MS-4.0,1.0,1.0,1.0
501,H6MS04192,"GLADNEY, MARK DEY",H,MS,4.0,DEM,CHALLENGER,52392.0,49270.27,0,0.0,3121.75,21861.0,8510.0,30371.0,MS-4.0,2.0,2.0,2.0
3,H4MT01041,"ZINKE, RYAN K",H,MT,0.0,REP,INCUMBENT,4938943.74,5055942.15,1,83815.78,399122.61,2479616.45,1837715.13,4317331.58,MT-0.0,1.0,1.0,1.0
535,H6MT01095,"JUNEAU, DENISE",H,MT,0.0,DEM,CHALLENGER,2317465.07,1831515.23,0,0.0,491337.79,1320178.81,717285.91,2037464.72,MT-0.0,2.0,2.0,2.0
31,H4NC01046,"BUTTERFIELD, G K",H,NC,1.0,DEM,INCUMBENT,1033153.84,645262.84,1,387090.38,677558.09,153750.0,25092.48,178842.48,NC-1.0,1.0,1.0,1.0
479,H6NC01108,"DEW, HAROLD POWELL JR",H,NC,1.0,REP,CHALLENGER,10648.0,19656.14,0,0.0,991.86,2820.0,2875.0,5695.0,NC-1.0,2.0,3.0,3.0
674,H6NC01124,"SUMMERELL, JOSEPH JOHN MR.",H,NC,1.0,LIB,CHALLENGER,18411.64,18062.46,0,0.0,349.18,12016.0,3555.0,15571.0,NC-1.0,3.0,2.0,2.0
69,H2NC13110,"HOLDING, GEORGE E MR.",H,NC,2.0,REP,INCUMBENT,2515945.6,2393259.97,1,26982.02,45563.56,1075683.33,55417.14,1131100.47,NC-2.0,1.0,3.0,1.0
1314,H0NC02059,"ELLMERS, RENEE JACISIN",H,NC,2.0,REP,INCUMBENT,1266586.77,1365951.95,0,152145.65,3254.35,252113.64,30273.03,282386.67,NC-2.0,2.0,4.0,3.0
795,H6NC02114,"DUNCAN, JAMES",H,NC,2.0,REP,CHALLENGER,474313.39,377392.39,0,0.0,74221.0,294805.71,56344.63,351150.34,NC-2.0,3.0,2.0,2.0
758,H6NC02148,"BRANNON, GREGORY",H,NC,2.0,REP,CHALLENGER,103065.96,115819.47,0,0.0,326.52,35900.64,67165.32,103065.96,NC-2.0,4.0,1.0,4.0
580,H6NC13046,"MCNEIL, JOHN P",H,NC,2.0,DEM,CHALLENGER,54542.42,69770.54,0,0.0,4105.88,31320.19,18152.55,49472.74,NC-2.0,5.0,5.0,5.0
1106,H0NC04147,"ROCHE, FRANK",H,NC,2.0,REP,CHALLENGER,26112.89,17802.88,0,0.0,0.0,15130.85,10782.04,25912.89,NC-2.0,6.0,6.0,6.0
81,H2NC01081,"JONES, WALTER B.",H,NC,3.0,REP,INCUMBENT,649449.67,642634.18,1,125475.06,126610.55,352166.0,70098.67,422264.67,NC-3.0,1.0,1.0,1.0
830,H4NC03059,"GRIFFIN, WILLIAM TAYLOR",H,NC,3.0,REP,CHALLENGER,347801.0,345966.33,0,0.0,1834.67,265537.0,24094.0,289631.0,NC-3.0,2.0,3.0,2.0
1095,H6NC03138,"LAW, PHILIP JOSEPH",H,NC,3.0,REP,CHALLENGER,145404.32,145404.32,0,0.0,0.0,83622.17,25882.07,109504.24,NC-3.0,3.0,2.0,3.0
5,H6NC04037,"PRICE, DAVID E.",H,NC,4.0,DEM,INCUMBENT,725854.52,430826.04,1,216409.21,274287.84,256364.26,72440.26,328804.52,NC-4.0,1.0,1.0,1.0
506,H6NC04151,"GOOGE, SUE",H,NC,4.0,REP,CHALLENGER,104229.32,78678.44,0,0.0,34190.88,85388.0,18841.32,104229.32,NC-4.0,2.0,2.0,2.0
1268,H4NC05146,"FOXX, VIRGINIA ANN",H,NC,5.0,REP,INCUMBENT,1464717.77,986686.45,0,2036911.71,2515901.27,779272.67,63199.0,842471.67,NC-5.0,1.0,1.0,1.0
788,H6NC05117,"CURRAN, PATRICIA MARGARET",H,NC,5.0,REP,CHALLENGER,86515.85,86440.74,0,0.0,75.24,52132.92,28070.45,80203.37,NC-5.0,2.0,2.0,2.0
1063,H6NC06131,"ROBERTS, JAMES HENRY MR. SR.",H,NC,5.0,DEM,CHALLENGER,322.0,23342.0,0,0.0,5351.0,0.0,0.0,0.0,NC-5.0,3.0,4.0,4.0
979,H6NC05125,"WALLIN, CHARLIE",H,NC,5.0,DEM,CHALLENGER,5571.09,3831.09,0,0.0,0.0,2000.0,3571.09,5571.09,NC-5.0,4.0,3.0,3.0
115,H4NC06052,"WALKER, BRADLEY MARK",H,NC,6.0,REP,INCUMBENT,793653.63,522237.5,1,14792.36,249184.24,427511.0,36183.75,463694.75,NC-6.0,1.0,1.0,1.0
504,H6NC06099,"GLIDEWELL, POWELL WATKINS PETE"" III""",H,NC,6.0,DEM,CHALLENGER,88617.54,80773.74,0,0.0,7843.8,68970.0,15772.54,84742.54,NC-6.0,2.0,2.0,2.0
833,H6NC06107,"HARDIN, CHRISTOPHER WESLEY MR.",H,NC,6.0,REP,CHALLENGER,29340.15,29178.81,0,0.0,161.89,11818.7,5468.32,17287.02,NC-6.0,3.0,3.0,3.0
1203,H4NC06144,"KOPF, KENN",H,NC,6.0,REP,CHALLENGER,6101.0,381.0,0,0.0,5719.0,5101.0,0.0,5101.0,NC-6.0,4.0,4.0,4.0
96,H2NC07096,"ROUZER, DAVID CHESTON MR.",H,NC,7.0,REP,INCUMBENT,1212748.06,565040.09,1,64728.33,655030.56,486643.62,17165.6,503809.22,NC-7.0,1.0,1.0,1.0
448,H4NC07100,"CASTEEN, J WESLEY",H,NC,7.0,DEM,CHALLENGER,13465.0,12526.74,0,0.0,937.64,12315.0,2150.0,13365.0,NC-7.0,2.0,2.0,2.0
190,H2NC08185,"HUDSON, RICHARD L. JR.",H,NC,8.0,REP,INCUMBENT,1935727.12,2206944.74,1,439045.7,89039.91,639145.82,40556.3,679702.12,NC-8.0,1.0,2.0,1.0
587,H6NC08145,"MILLS, THOMAS M",H,NC,8.0,DEM,CHALLENGER,347768.81,287167.58,0,0.0,60063.35,275501.94,72466.87,347968.81,NC-8.0,2.0,1.0,2.0
789,H0NC08163,"D'ANNUNZIO, TIMOTHY BRUCE",H,NC,8.0,REP,CHALLENGER,9882.0,233979.46,0,0.0,1402.54,6465.0,3417.0,9882.0,NC-8.0,3.0,3.0,3.0
183,H2NC09134,"PITTENGER, ROBERT M. HON.",H,NC,9.0,REP,INCUMBENT,708716.88,956313.28,1,74194.55,22341.13,180921.88,8435.0,189356.88,NC-9.0,1.0,2.0,1.0
850,H6NC09192,"JOHNSON, TODD",H,NC,9.0,REP,CHALLENGER,101710.0,219560.68,0,0.0,49.32,95390.0,6320.0,101710.0,NC-9.0,2.0,3.0,3.0
732,H6NC09200,"HARRIS, MARK E",H,NC,9.0,REP,CHALLENGER,179393.97,180341.37,0,0.0,-0.38,147897.0,25453.0,173350.0,NC-9.0,3.0,1.0,2.0
444,H6NC09184,"CANO, FERNANDO CHRISTIAN JR",H,NC,9.0,DEM,CHALLENGER,19546.27,42127.26,0,0.0,2171.71,10282.35,2309.83,12592.18,NC-9.0,4.0,4.0,4.0
1009,H6NC09168,"BURK, JOHN GUNTHER JR",H,NC,9.0,REP,CHALLENGER,1150.0,1150.0,0,0.0,0.0,0.0,150.0,150.0,NC-9.0,5.0,5.0,5.0
67,H4NC10047,"MCHENRY, PATRICK TIMOTHY",H,NC,10.0,REP,INCUMBENT,2650619.38,1322936.51,1,840207.84,1872193.6,1022694.7,20364.7,1043059.4,NC-10.0,1.0,2.0,1.0
584,H6NC10158,"MILLARD, CARL ANDREW",H,NC,10.0,DEM,CHALLENGER,253348.92,267103.13,0,0.0,110723.18,199269.01,53079.91,252348.92,NC-10.0,2.0,1.0,2.0
51,H2NC11080,"MEADOWS, MARK R",H,NC,11.0,REP,INCUMBENT,578755.32,387382.55,1,174406.45,226899.42,218559.38,106028.86,324588.24,NC-11.0,1.0,1.0,1.0
438,H6NC11198,"BRYSON, FREDERICK EDGAR (RICK)",H,NC,11.0,DEM,CHALLENGER,29580.0,28218.11,0,0.0,12811.89,14050.0,13745.0,27795.0,NC-11.0,2.0,2.0,2.0
840,H4NC11086,"HILL, TOM",H,NC,11.0,DEM,CHALLENGER,2724.01,4623.76,0,32.31,-127.44,500.0,2224.01,2724.01,NC-11.0,3.0,3.0,3.0
42,H4NC12100,"ADAMS, ALMA SHEALEY",H,NC,12.0,DEM,INCUMBENT,889712.41,778075.76,1,23091.45,117318.12,225173.68,67658.2,292831.88,NC-12.0,1.0,1.0,1.0
783,H6NC12055,"COTHAM, PATRICIA A",H,NC,12.0,DEM,CHALLENGER,76835.97,118875.35,0,0.0,1460.62,44101.48,12190.0,56291.48,NC-12.0,2.0,3.0,3.0
825,H4NC12084,"GRAHAM, MALCOLM",H,NC,12.0,DEM,CHALLENGER,77812.37,102098.77,0,286.4,0.0,63453.0,14075.0,77528.0,NC-12.0,3.0,2.0,2.0
1032,H6NC12063,"CUNNINGHAM, CARLA DELLETTE",H,NC,12.0,DEM,CHALLENGER,4877.99,37482.19,0,0.0,13.1,3150.0,1727.99,4877.99,NC-12.0,4.0,6.0,6.0
683,H4NC12142,"THREATT, ARCHIE LEON",H,NC,12.0,REP,CHALLENGER,30523.75,29252.3,0,27.74,1299.19,17073.0,8819.0,25892.0,NC-12.0,5.0,4.0,4.0
837,H4NC05260,"HENLEY, GARDENIA M",H,NC,12.0,DEM,CHALLENGER,3185.98,10223.96,0,70.61,222.63,3100.0,85.98,3185.98,NC-12.0,6.0,7.0,7.0
1090,H6NC12030,"DUFFIE, RYAN",H,NC,12.0,REP,CHALLENGER,6585.0,5971.83,0,0.0,-54.64,4640.0,1945.0,6585.0,NC-12.0,7.0,5.0,5.0
152,H6NC13129,"BUDD, THEODORE P MR.",H,NC,13.0,REP,CHALLENGER,433520.0,420035.99,1,0.0,63484.01,285195.0,41625.0,326820.0,NC-13.0,1.0,3.0,1.0
750,H6NC03179,"BARRETT, CHARLES DANIEL",H,NC,13.0,REP,CHALLENGER,22432.29,241402.41,0,0.0,0.0,16650.0,5782.29,22432.29,NC-13.0,2.0,8.0,11.0
761,H6NC13053,"BROCK, ANDREW C",H,NC,13.0,REP,CHALLENGER,31925.0,116949.0,0,0.0,14976.0,23550.0,875.0,24425.0,NC-13.0,3.0,13.0,10.0
790,H6NC02122,"DALY, KAY MRS.",H,NC,13.0,REP,CHALLENGER,182915.39,106349.6,0,0.0,90921.54,109336.5,47909.89,157246.39,NC-13.0,4.0,1.0,2.0
917,H6NC13061,"ROBSINSON, VERNON",H,NC,13.0,REP,CHALLENGER,91244.77,91244.77,0,0.0,0.0,43050.0,47494.77,90544.77,NC-13.0,5.0,2.0,8.0
1076,H6NC13145,"WALSER, JASON ALBERT",H,NC,13.0,REP,CHALLENGER,83229.71,80592.13,0,0.0,2637.58,65907.32,11198.61,77105.93,NC-13.0,6.0,5.0,4.0
838,H6NC13095,"HENNING, PAUL H IV",H,NC,13.0,REP,CHALLENGER,77591.0,77591.0,0,0.0,0.0,82801.0,3395.0,86196.0,NC-13.0,7.0,10.0,3.0
922,H6NC09176,"ROUCO, GEORGE",H,NC,13.0,REP,CHALLENGER,73114.75,74093.39,0,0.0,1791.36,63350.0,2265.0,65615.0,NC-13.0,8.0,11.0,5.0
846,H6NC13137,"HOWARD, JULIA CRAVEN",H,NC,13.0,REP,CHALLENGER,63995.0,61617.65,0,0.0,0.0,33200.0,6295.0,39495.0,NC-13.0,9.0,7.0,9.0
755,H6NC13087,"BLUST, JOHN MARSHALL",H,NC,13.0,REP,CHALLENGER,50561.68,50087.87,0,0.0,473.81,43250.0,3811.68,47061.68,NC-13.0,10.0,9.0,7.0
472,H4NC06136,"DAVIS, BRUCE EDWARD SR.",H,NC,13.0,DEM,CHALLENGER,58631.0,43585.3,0,179.48,9316.39,43743.0,12138.0,55881.0,NC-13.0,11.0,4.0,6.0
828,H6NC13210,"GRIFFIN, KEVIN D.",H,NC,13.0,DEM,CHALLENGER,633.36,19506.39,0,0.0,1.97,0.0,630.36,630.36,NC-13.0,12.0,14.0,15.5
1002,H6NC13103,"SHOAF, FARREN KENT",H,NC,13.0,REP,CHALLENGER,14956.0,14956.0,0,0.0,0.0,6650.0,0.0,0.0,NC-13.0,13.0,15.5,13.0
1107,H6NC02130,"COKER, ADAM WARD",H,NC,13.0,DEM,CHALLENGER,10290.0,13793.82,0,0.0,2486.18,0.0,10290.0,10290.0,NC-13.0,14.0,6.0,15.5
925,H4NC13058,"SANYAL, ARUNAVA RON""""",H,NC,13.0,DEM,CHALLENGER,10975.0,11219.0,0,0.0,27.0,318.0,0.0,1075.0,NC-13.0,15.0,15.5,14.0
1083,H6NC13160,"ISNER, BOB",H,NC,13.0,DEM,CHALLENGER,14490.0,6477.0,0,0.0,0.0,10500.0,2250.0,12750.0,NC-13.0,16.0,12.0,12.0
41,H0ND01026,"CRAMER, KEVIN MR.",H,ND,0.0,REP,INCUMBENT,1308804.42,727918.42,1,20897.96,595583.96,414472.07,85432.35,499904.42,ND-0.0,1.0,1.0,1.0
528,H6ND01015,"IRON EYES, CHASE MR.",H,ND,0.0,DEM,CHALLENGER,162747.73,118824.95,0,0.0,43922.78,74795.0,78832.73,153627.73,ND-0.0,2.0,2.0,2.0
393,H4ND01028,"SEAMAN, JACK",H,ND,0.0,LIB,CHALLENGER,2530.0,2546.2,0,16.0,0.0,1800.0,730.0,2530.0,ND-0.0,3.0,3.0,3.0
193,H4NE01064,"FORTENBERRY, JEFFREY L. HONORABLE",H,NE,1.0,REP,INCUMBENT,755947.4,268820.36,1,1159346.64,1572605.14,417079.02,29868.38,446947.4,NE-1.0,1.0,1.0,1.0
1245,H4NE02054,"ASHFORD, BRAD",H,NE,2.0,DEM,INCUMBENT,2255900.76,2143438.42,0,15489.79,121802.13,942094.26,167198.03,1109292.29,NE-2.0,1.0,1.0,1.0
335,H6NE02125,"BACON, DONALD",H,NE,2.0,REP,CHALLENGER,1261815.94,1032298.34,1,0.0,229517.55,759127.55,135677.54,894805.09,NE-2.0,2.0,2.0,2.0
878,H4NE02120,"MAXWELL, CHIP",H,NE,2.0,REP,CHALLENGER,101770.97,113914.87,0,0.0,-2143.9,84190.14,16580.83,100770.97,NE-2.0,3.0,3.0,3.0
1307,H6NE03115,"SMITH, ADRIAN",H,NE,3.0,REP,INCUMBENT,1100156.49,374495.25,1,784439.23,1176027.85,200125.0,28073.5,228198.5,NE-3.0,1.0,1.0,1.0
1273,H0NH01217,"GUINTA, FRANK",H,NH,1.0,REP,INCUMBENT,1173369.25,1117175.62,0,18774.31,175017.11,467130.98,17862.11,484993.09,NH-1.0,1.0,3.0,2.0
604,H6NH01271,"O'CONNOR, SHAWN PATRICK PATRICK",H,NH,1.0,IND,CHALLENGER,247243.42,1019414.99,0,0.0,14412.39,196434.88,58158.54,254593.42,NH-1.0,2.0,2.0,5.0
